factId,propertyId,humanReadable,annotatedPassage,subjectStart,subjectEnd,subjectText,subjectUri,objectStart,objectEnd,objectText,objectUri
7:23:44:138:160:1,1,<Tata Chemicals Europe> <SUBSIDIARY_OF> <Tata Chemicals Limited>,"<Tata Chemicals Europe> (formerly Brunner Mond (UK) Limited) is a UK-based chemicals company that is a subsidiary of <Tata Chemicals Limited>, itself a part of the India-based Tata Group.",23,44,Tata Chemicals Europe,,138,160,Tata Chemicals Limited,http://www.wikidata.org/entity/Q2331365
7:162:168:183:205:1,1,<itself> <SUBSIDIARY_OF> <India-based Tata Group>,"Tata Chemicals Europe (formerly Brunner Mond (UK) Limited) is a UK-based chemicals company that is a subsidiary of Tata Chemicals Limited, <itself> a part of the <India-based Tata Group>.",162,168,itself,http://www.wikidata.org/entity/Q2331365,183,205,India-based Tata Group,http://www.wikidata.org/entity/Q331715
7:114:118:138:160:1,1,<that> <SUBSIDIARY_OF> <Tata Chemicals Limited>,"Tata Chemicals Europe (formerly Brunner Mond (UK) Limited) is a UK-based chemicals company <that> is a subsidiary of <Tata Chemicals Limited>, itself a part of the India-based Tata Group.",114,118,that,,138,160,Tata Chemicals Limited,http://www.wikidata.org/entity/Q2331365
7:55:80:138:160:1,1,<Brunner Mond (UK) Limited> <SUBSIDIARY_OF> <Tata Chemicals Limited>,"Tata Chemicals Europe (formerly <Brunner Mond (UK) Limited>) is a UK-based chemicals company that is a subsidiary of <Tata Chemicals Limited>, itself a part of the India-based Tata Group.",55,80,Brunner Mond (UK) Limited,,138,160,Tata Chemicals Limited,http://www.wikidata.org/entity/Q2331365
7:23:44:162:168:1,1,<Tata Chemicals Europe> <SUBSIDIARY_OF> <itself>,"<Tata Chemicals Europe> (formerly Brunner Mond (UK) Limited) is a UK-based chemicals company that is a subsidiary of Tata Chemicals Limited, <itself> a part of the India-based Tata Group.",23,44,Tata Chemicals Europe,,162,168,itself,http://www.wikidata.org/entity/Q2331365
7:138:160:183:205:1,1,<Tata Chemicals Limited> <SUBSIDIARY_OF> <India-based Tata Group>,"Tata Chemicals Europe (formerly Brunner Mond (UK) Limited) is a UK-based chemicals company that is a subsidiary of <Tata Chemicals Limited>, itself a part of the <India-based Tata Group>.",138,160,Tata Chemicals Limited,http://www.wikidata.org/entity/Q2331365,183,205,India-based Tata Group,http://www.wikidata.org/entity/Q331715
29726:238:245:302:314:14,14,"<Sandman> <DATE_OF_DEATH> <July 3, 1999>","After five successful albums and extensive touring, they disbanded after lead vocalist <Sandman> died of a heart attack onstage in Palestrina, Italy, on <July 3, 1999>.",238,245,Sandman,,302,314,"July 3, 1999",
7109:103:134:141:147:10,10,<بد الله بن محمد بن سعود آل ثاني> <NATIONALITY> <Qatari>,"H.E. Sheikh Abdullah bin Mohammed bin Saud Al Thani (Arabic: ع<بد الله بن محمد بن سعود آل ثاني>) is a <Qatari> businessman, politician and a member of the royal family.",103,134,بد الله بن محمد بن سعود آل ثاني,http://www.wikidata.org/entity/Q19661549,141,147,Qatari,http://www.wikidata.org/entity/Q846
7109:53:92:141:147:10,10,<Abdullah bin Mohammed bin Saud Al Thani> <NATIONALITY> <Qatari>,"H.E. Sheikh <Abdullah bin Mohammed bin Saud Al Thani> (Arabic: عبد الله بن محمد بن سعود آل ثاني) is a <Qatari> businessman, politician and a member of the royal family.",53,92,Abdullah bin Mohammed bin Saud Al Thani,http://www.wikidata.org/entity/Q19661549,141,147,Qatari,http://www.wikidata.org/entity/Q846
7109:370:396:345:347:4,4,<Qatar Investment Authority> <CEO> <he>,In December 2014 <he> became the CEO of the <Qatar Investment Authority>.,370,396,Qatar Investment Authority,http://www.wikidata.org/entity/Q1571175,345,347,he,http://www.wikidata.org/entity/Q19661549
